180,"{u'review': u'全部が全部教育に悪い動画ではないのだからレーティングをつけなくてもいいと思います', u'id': u'544007664', u'name': {u'label': u'YouTube'}}"
181,"{u'review': u'アプデしたらアイコン消えました…
とっても不便になったのですが…なんとかならないのでしょうか？', u'id': u'544007664', u'name': {u'label': u'YouTube'}}"
182,"{u'review': u'5月21日にアップデートされてから、音と映像がずれるようになりました。', u'id': u'544007664', u'name': {u'label': u'YouTube'}}"
183,"{u'review': u'アプデしてから音声と映像がずれすぎ！
早く直して！', u'id': u'544007664', u'name': {u'label': u'YouTube'}}"
184,"{u'review': u'アップデートしてもあまり変わらないような気がする。
しかも20分ほどの動画で有料会員になれと言わんばかりの量のCMを挟み込んでくる。
どんどん落ちぶれていってますね、まだdailymotionの方が使える。', u'id': u'544007664', u'name': {u'label': u'YouTube'}}"
185,"{u'review': u'再生中の動画が途中で戻ってかなりの音ずれが起きる
どうゆうことなのか！
仕事しろよ

星一つもつけたくないわ', u'id': u'544007664', u'name': {u'label': u'YouTube'}}"
186,"{u'review': u'後で見るの再生リストに間違えて、
クソ動画を入れてしまって、
消そうとしても消えません！
早く修正して！お願いします！', u'id': u'544007664', u'name': {u'label': u'YouTube'}}"
187,"{u'review': u'音ズレが酷い。', u'id': u'544007664', u'name': {u'label': u'YouTube'}}"
188,"{u'review': u'履歴も見れるし画面の縮小もできるし
映像も特に問題ないし、至って普通のアプリじゃん
なんでこんなネガキャンされてんの？', u'id': u'544007664', u'name': {u'label': u'YouTube'}}"
189,"{u'review': u'なんか映像が映し出されない
音は、出てるのに。
どういうこと？', u'id': u'544007664', u'name': {u'label': u'YouTube'}}"
190,"{u'review': u'音と、映像が噛み合わない…', u'id': u'544007664', u'name': {u'label': u'YouTube'}}"
